age,income,score,category,label
47,47092.95,1.540261081924691,A,0
49,24575.11,0.7014120469074839,A,1
64,52831.15,-1.2260030477040933,A,1
76,53518.67,-1.6238068064859852,B,1
20,37017.07,-0.7554195256557019,C,1
26,61136.69,1.0532152643097332,A,0
69,29405.5,-0.33504815366534896,B,0
76,,-0.6675728190765841,A,0
33,42871.71,0.13828255780588264,A,0
37,79812.65,-1.4155259495914145,A,0
71,26012.24,-1.1393277216692916,B,0
44,58439.45,0.510325425209473,A,0
34,64131.85,-0.30315349290822236,A,1
69,55665.88,-0.45323624209051777,C,1
33,67727.12,0.317635025316504,A,0
43,,-0.584871203180809,A,0
57,15796.12,-0.6862910465626746,A,0
52,61502.27,-0.4598101625336741,A,0
23,32062.58,0.6026205891115991,A,0
19,45104.0,0.05981993572120316,B,0
71,,-1.1945975846763108,A,0
64,65785.13,-0.30305691452920813,A,0
69,62977.25,0.6482239264513066,A,1
51,39199.05,1.870751943156877,B,0
68,63552.38,-1.1423539921219512,A,1
38,51819.16,0.33853529404852295,A,0
46,47909.17,-0.2587482768153575,A,1
66,50861.25,0.825519436812254,A,0
25,46958.76,0.44955497731606664,B,0
36,59225.08,1.4721769077408147,A,0
25,54655.21,0.5194509022746103,B,0
46,44757.99,-0.5451133122289074,B,0
78,65093.84,-0.5385931781792882,A,0
26,40827.87,0.4055501097171292,A,0
41,54304.0,0.39494318942459034,A,1
42,56332.33,2.3979372675854025,A,0
74,72182.11,1.6763327196655948,A,0
30,42418.38,-1.1735783523750556,B,1
49,76146.24,0.35022479577355486,B,0
34,52642.47,-1.3309888613685903,A,0
19,47090.35,-1.655676895719328,A,1
64,39912.91,0.7435460014427098,A,0
21,58794.4,0.5517475330451567,B,0
35,50734.03,-1.0385677943370097,A,0
48,33445.86,1.643686738098532,A,0
48,33081.69,-0.977569929500294,A,1
25,41667.21,-1.1677283811466697,A,0
78,39859.91,0.6526182214200285,C,0
64,66354.54,0.22093854571555138,A,1
77,70633.07,-0.16050800096883255,B,0
23,63028.39,-0.06706583290096389,A,1
62,55368.03,0.22380079125852775,A,0
36,43576.43,-0.1395799857488353,A,0
51,50817.25,-0.17250486828103703,B,0
75,63270.61,-1.895956688666449,A,1
35,81964.58,-1.341961366009667,A,0
63,63693.49,0.6109495703227616,C,0
27,45793.82,-0.7043008904466944,B,0
37,50570.38,0.5451932591117038,A,0
78,42761.83,1.2354638992456595,A,0
44,38264.02,-0.35495082644842896,A,1
49,47236.37,0.28296978134308537,A,0
36,52934.22,2.076476446778688,A,0
25,77538.52,0.6949356423135457,A,1
44,50780.49,1.8418738307513378,A,1
56,,1.5334070539140794,A,0
46,76512.34,0.7533603495211348,A,0
